algorithm,status,discovery_scope,evaluation_scope,used_fallback,fitness,fitness_scope,precision,precision_scope,generalization,generalization_scope,built_in_simplicity,number_of_places,number_of_transitions,number_of_arcs,average_arc_degree,silent_transition_ratio,error_note
Inductive Miner,success,complete_filtered_full_log,complete_filtered_full_log,False,1.0,complete_filtered_full_log,0.2926135820916598,complete_filtered_full_log,0.9756702764431168,complete_filtered_full_log,0.6170212765957447,34,53,114,1.3103448275862069,0.5471698113207547,
Heuristics Miner,success,complete_filtered_full_log,complete_filtered_full_log,False,0.8340345865584254,complete_filtered_full_log,0.9979262430596038,complete_filtered_full_log,0.8475042684572474,complete_filtered_full_log,0.48148148148148145,49,94,220,1.5384615384615385,0.7446808510638298,
Alpha Miner,success,complete_filtered_full_log,complete_filtered_full_log,False,0.495774473479623,complete_filtered_full_log,0.12590195124851544,complete_filtered_full_log,0.9869939686795314,complete_filtered_full_log,0.392,25,24,87,1.7755102040816326,0.0,
